gene,log2FoldChange,pvalue,t_statistic,mean_group1,mean_group2,padj,abs_log2FC,significant
ARHGEF10L,-0.6004851521435786,2.9572648001073442e-27,-11.172847309787917,8.935443141592922,9.5359282937365,1.358571071131192e-26,0.6004851521435786,False
HIF3A,-1.100881603958408,5.17378231722409e-13,-7.327031694648116,5.746187942477876,6.847069546436284,1.2885154412316975e-12,1.100881603958408,True
RNF17,0.6049595914008296,6.156031796663576e-18,8.811106235657805,1.1625764380530974,0.5576168466522679,1.9260182891785715e-17,0.6049595914008296,False
RNF10,-0.14969823653930803,7.335399917684022e-10,-6.224933976179396,11.617824225663718,11.767522462203026,1.5732584215659664e-09,0.14969823653930803,False
RNF11,0.05603820051033104,0.09904247528092461,1.6511958770823074,10.95363971238938,10.89760151187905,0.11963891560204723,0.05603820051033104,False
RNF13,0.3821807866167184,1.273614384317434e-21,9.798356882480203,10.895527654867257,10.513346868250538,4.660715330505805e-21,0.3821807866167184,False
GTF2IP1,0.005341903753890875,0.8712178887428925,0.16215726849976356,12.271141039823007,12.265799136069116,0.8871163450878388,0.005341903753890875,False
REM1,-0.48004556327529135,4.0955887425381193e-10,-6.319563673327564,3.7456276548672567,4.225673218142548,8.893240778313637e-10,0.48004556327529135,False
MTVR2,-0.018730277958294295,0.5903423714521367,-0.5385301403508665,0.38356648230088497,0.40229676025917926,0.6255825433589531,0.018730277958294295,False
RTN4RL2,-2.157143197738871,9.503494581388131e-69,-19.111402708323528,4.563622676991151,6.720765874730022,1.865244987848998e-67,2.157143197738871,True
C16orf13,-0.3922013991093092,7.982736814119623e-19,-9.056748589323957,9.212059292035399,9.604260691144708,2.5895312967647816e-18,0.3922013991093092,False
C16orf11,0.2783207826028785,2.2565045296873098e-13,7.444029034791584,0.43318384955752215,0.15486306695464366,5.708192737456782e-13,0.2783207826028785,False
FGFR1OP2,0.26806818053670867,8.866294060407841e-13,7.2502213752194455,9.217828871681418,8.949760691144709,2.1834259719581865e-12,0.26806818053670867,False
TSKS,0.4934537954662743,5.057064812045008e-06,4.589803548712472,2.177700663716814,1.6842468682505398,8.725687687875597e-06,0.4934537954662743,False
ATRX,-0.310204848859879,2.4978677933558146e-16,-8.350802626958718,10.188445907079645,10.498650755939524,7.266165755338508e-16,0.310204848859879,False
PMM2,-0.11015858411857948,0.0015504720024415884,-3.174642072052205,10.16460232300885,10.27476090712743,0.002240480160480443,0.11015858411857948,False
LOC100272146,-0.43274404566218827,2.7133899296055675e-14,-7.735830931451653,4.9992188053097335,5.431962850971922,7.17208834975346e-14,0.43274404566218827,False
ASS1,-0.5047818880330279,6.971902557245426e-08,-5.4366113544488925,10.688880530973451,11.193662419006479,1.3432501312375734e-07,0.5047818880330279,False
NCBP1,0.3709389839255337,1.8353510933025351e-28,11.450880233615543,9.96006814159292,9.589129157667386,8.859636891049296e-28,0.3709389839255337,False
ZNF709,-0.46091610265868965,6.487283653263149e-16,-8.228730372490821,5.5628767699115045,6.023792872570194,1.852790896740624e-15,0.46091610265868965,False
ZNF708,-0.5397327641487806,2.7624194375461533e-20,-9.449891785155494,6.563361836283185,7.103094600431966,9.543374672948549e-20,0.5397327641487806,False
RBM14,0.28648855148225216,2.233649612619732e-32,12.320672693705708,10.31622721238938,10.029738660907128,1.251523455148345e-31,0.28648855148225216,False
NCBP2,0.8921910651484168,8.128189128126308e-104,24.73884674616821,11.607610287610619,10.715419222462202,5.112933875472e-102,0.8921910651484168,False
DISC1,-0.2600287866262745,4.0305517847964936e-05,-4.125883963185492,7.076356526548672,7.336385313174946,6.541048505813073e-05,0.2600287866262745,False
CAMK1,-0.7410684058372663,2.3788668527859935e-46,-15.137026938225127,7.600348008849558,8.341416414686824,2.207235368904274e-45,0.7410684058372663,False
RPL37,0.18857476251457328,0.0001262122128488953,3.850276815285446,13.945183185840706,13.756608423326133,0.00019782003956158586,0.18857476251457328,False
SPR,-0.10380822765152331,0.03650919705078725,-2.0942917098621927,9.658285508849557,9.76209373650108,0.04649149919927673,0.10380822765152331,False
ZNF700,0.11701671453009332,0.006217457620203545,2.742458712530734,8.079308075221238,7.962291360691145,0.008551854142144696,0.11701671453009332,False
ZNF707,0.14903340206234805,0.0011847301067055562,3.252783550535172,8.037928650442478,7.88889524838013,0.0017294924909060211,0.14903340206234805,False
CAMK4,0.30176808353561846,0.0003550932657973387,3.584885698276891,4.154770243362832,3.8530021598272137,0.0005389998575183675,0.30176808353561846,False
ZNF704,-0.15104236438961127,0.11756063494657171,-1.5665747380665231,6.736103207964601,6.887145572354212,0.1406242639132351,0.15104236438961127,False
LOC339240,0.4404165752403523,1.9980380617544592e-13,7.461049791927549,0.7724522123893804,0.3320356371490281,5.072096871893291e-13,0.4404165752403523,False
GOLGA6B,0.27304263269557927,5.938726406377475e-06,4.5553675968215135,1.259103539823009,0.9860609071274298,1.0197431617597133e-05,0.27304263269557927,False
RNF115,-0.18014226428257452,2.579213887647063e-08,-5.616996220133118,8.839002876106195,9.019145140388769,5.0819044060594614e-08,0.18014226428257452,False
RNF112,0.10521686361551197,0.18046063949155686,1.3403634841164693,3.5766779867256635,3.4714611231101515,0.21019150390462818,0.10521686361551197,False
ZC3H14,-0.017222505208431826,0.5629619056410623,-0.5786591427939934,9.973616371681416,9.990838876889848,0.599137946551057,0.017222505208431826,False
SPN,-1.116066670330091,7.264871177595821e-34,-12.639979689030676,7.250802876106195,8.366869546436286,4.29885964657328e-33,1.116066670330091,True
HMGCLL1,-1.1166126911351517,2.3910481769401173e-24,-10.48078848062294,2.514415818584071,3.6310285097192225,9.811726260924246e-24,1.1166126911351517,True
NACAP1,0.29463106400160655,4.7274663906944907e-17,8.56024368688605,7.190812057522124,6.896180993520518,1.4192208647327243e-16,0.29463106400160655,False
LRRTM1,-0.4533578790687893,0.0024228357794404067,-3.0413063338497395,1.6355183628318586,2.088876241900648,0.0034450360626581563,0.4533578790687893,False
